Date(UTC),Pair,Side,Price,Executed,Amount,Fee
2024-01-15 10:30:00,BTCUSDT,BUY,42500.00,0.05,2125.00,2.125 USDT
2024-01-15 14:45:00,BTCUSDT,SELL,43200.00,0.05,2160.00,2.160 USDT
2024-01-15 11:00:00,ETHUSDT,BUY,2350.00,1.00,2350.00,2.350 USDT
2024-01-15 16:30:00,ETHUSDT,SELL,2280.00,1.00,2280.00,2.280 USDT
2024-01-16 09:00:00,BTCUSDT,BUY,42800.00,0.10,4280.00,4.280 USDT
2024-01-16 12:00:00,BTCUSDT,SELL,43500.00,0.10,4350.00,4.350 USDT
2024-01-16 14:30:00,SOLUSDT,BUY,95.50,20.00,1910.00,1.910 USDT
2024-01-16 18:00:00,SOLUSDT,SELL,98.20,20.00,1964.00,1.964 USDT
2024-01-17 08:45:00,ETHUSDT,BUY,2400.00,0.80,1920.00,1.920 USDT
2024-01-17 11:30:00,ETHUSDT,SELL,2450.00,0.80,1960.00,1.960 USDT
2024-01-17 13:00:00,BNBUSDT,BUY,310.00,5.00,1550.00,1.550 USDT
2024-01-17 16:45:00,BNBUSDT,SELL,305.00,5.00,1525.00,1.525 USDT
2024-01-18 10:15:00,BTCUSDT,BUY,43200.00,0.08,3456.00,3.456 USDT
2024-01-18 15:30:00,BTCUSDT,SELL,44100.00,0.08,3528.00,3.528 USDT
2024-01-19 09:30:00,LINKUSDT,BUY,15.20,100.00,1520.00,1.520 USDT
2024-01-19 14:00:00,LINKUSDT,SELL,15.85,100.00,1585.00,1.585 USDT

